id,intent_status,intent_suggested,intent_reason,task_status,task_suggested,task_reason,entity_status,entity_reason,utter_quality,utter_issues,utter_rewrite,suitability,severity,overall_reason
v4_61,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'b&q retail outlet hardware repair' is incorrectly tagged as a single MERCHANT. 'b&q' should be the MERCHANT, and 'retail outlet hardware repair' should be a CATEGORY.",HIGH,,,MODIFY,HIGH,"Merchant entity 'b&q retail outlet hardware repair' is too broad. 'b&q' should be MERCHANT, and 'retail outlet hardware repair' should be CATEGORY."
v4_62,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'comcast xfinity wifi bills' is incorrectly tagged as CATEGORY. 'comcast xfinity' should be MERCHANT, and 'wifi bills' should be CATEGORY.",MEDIUM,Utterance contains informal language ('kharcha').,,MODIFY,HIGH,"Entity 'comcast xfinity wifi bills' is incorrectly tagged as CATEGORY. 'comcast xfinity' should be MERCHANT, and 'wifi bills' should be CATEGORY."
v4_63,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'blinkit instamart delivery' is incorrectly tagged as a single MERCHANT. 'blinkit instamart' should be the MERCHANT, and 'delivery' should be a CATEGORY.",HIGH,,,MODIFY,HIGH,"Merchant entity 'blinkit instamart delivery' is too broad. 'blinkit instamart' should be MERCHANT, and 'delivery' should be CATEGORY."
v4_64,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'pediatric medicine drops corner chemist' is incorrectly tagged as CATEGORY. 'corner chemist' should be MERCHANT, and 'pediatric medicine drops' should be CATEGORY.",MEDIUM,Utterance contains a misspelling ('budgt').,,MODIFY,HIGH,"Entity 'pediatric medicine drops corner chemist' is incorrectly tagged as CATEGORY. 'corner chemist' should be MERCHANT, and 'pediatric medicine drops' should be CATEGORY. Utterance contains a misspelling 'budgt'."
v4_65,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_66,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_67,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,"Utterance contains informal language ('blew', 'lol').",,KEEP,NONE,No Issues Found
v4_68,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,Utterance contains a redundant word ('bill').,lunch date cafe bill was 6745 rs,MODIFY,LOW,Utterance contains a redundant word 'bill'.
v4_69,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The amount 'aed1710' already includes the currency 'AED'. Tagging 'inr' as a separate B-CURRENCY creates ambiguity or implies a conversion not captured. It should be either 'aed1710' (AMOUNT) or '1710 inr' (AMOUNT, CURRENCY).",MEDIUM,Ambiguous currency specification ('aed1710 inr').,record aed1710 for imax film 3d screen movie pass,MODIFY,MEDIUM,"Ambiguous currency tagging. 'aed1710' already implies AED currency, so 'inr' should either be removed or the amount should be '1710 inr'."
v4_70,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,"The entity 'yesterday' which represents a DATE is untagged. The category 'monthly rental check cleared' might be too broad; 'monthly rental' is the core category, and 'check cleared' is descriptive.",HIGH,,,MODIFY,MEDIUM,"Missing DATE entity 'yesterday'. Category 'monthly rental check cleared' might be too broad; 'monthly rental' is the category, and 'check cleared' is descriptive."
v4_71,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_72,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'airbnb rental payout' is incorrectly tagged as CATEGORY. 'airbnb' should be MERCHANT, and 'rental payout' should be CATEGORY.",MEDIUM,Utterance contains informal language ('stuff').,,MODIFY,HIGH,"Entity 'airbnb rental payout' is incorrectly tagged as CATEGORY. 'airbnb' should be MERCHANT, and 'rental payout' should be CATEGORY."
v4_73,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The amount '$4730064' implies USD currency. Tagging 'npr' as a separate B-CURRENCY creates ambiguity. It should be either '$4730064' (AMOUNT) or '4730064 npr' (AMOUNT, CURRENCY).",MEDIUM,Ambiguous currency specification ('$4730064 npr').,add $4730064 expenditure for buffet restaurant pass,MODIFY,MEDIUM,"Ambiguous currency tagging. '$4730064' implies USD currency, so 'npr' should either be removed or the amount should be '4730064 npr'."
v4_74,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_75,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'tea and snacks joint' is incorrectly tagged as CATEGORY. 'tea and snacks' should be CATEGORY, and 'joint' (referring to an establishment) should be MERCHANT.",HIGH,,,MODIFY,HIGH,"Entity 'tea and snacks joint' is incorrectly tagged as CATEGORY. 'tea and snacks' should be CATEGORY, and 'joint' should be MERCHANT."
v4_76,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,Utterance contains informal language ('stuff').,,KEEP,NONE,No Issues Found
v4_77,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_78,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'electricity state board txn' is incorrectly tagged as CATEGORY. 'electricity state board' should be MERCHANT, and 'txn' is descriptive. The phrase 'a few hours ago' should be tagged as a DATE.",MEDIUM,Utterance contains informal language ('dikhao').,,MODIFY,HIGH,"Entity 'electricity state board txn' is incorrectly tagged as CATEGORY. 'electricity state board' should be MERCHANT, and 'txn' is descriptive. Missing DATE entity 'a few hours ago'."
v4_79,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'bt broadband wifi monthly plan' is incorrectly tagged as a single MERCHANT. 'bt' should be the MERCHANT, and 'broadband wifi monthly plan' should be a CATEGORY.",HIGH,,,MODIFY,HIGH,"Merchant entity 'bt broadband wifi monthly plan' is too broad. 'bt' should be MERCHANT, and 'broadband wifi monthly plan' should be CATEGORY."
v4_80,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'airtel network mobile pay' is incorrectly tagged as CATEGORY. 'airtel' should be MERCHANT, and 'network mobile pay' should be CATEGORY.",HIGH,,,MODIFY,HIGH,"Entity 'airtel network mobile pay' is incorrectly tagged as CATEGORY. 'airtel' should be MERCHANT, and 'network mobile pay' should be CATEGORY."
v4_81,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_82,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_83,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_84,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'dmart supermarket bill' is incorrectly tagged as a single MERCHANT. 'dmart' should be the MERCHANT, and 'supermarket bill' should be a CATEGORY. The entity 'today' which represents a DATE is untagged.",HIGH,,,MODIFY,HIGH,"Merchant entity 'dmart supermarket bill' is too broad. 'dmart' should be MERCHANT, and 'supermarket bill' should be CATEGORY. Missing DATE entity 'today'."
v4_85,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'shell station fuel cards' is incorrectly tagged as CATEGORY. 'shell station' should be MERCHANT, and 'fuel cards' should be CATEGORY.",HIGH,,,MODIFY,HIGH,"Entity 'shell station fuel cards' is incorrectly tagged as CATEGORY. 'shell station' should be MERCHANT, and 'fuel cards' should be CATEGORY."
v4_86,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_87,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_88,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,"The entity 'grocerist' is tagged as CATEGORY, assuming it's a misspelling of 'groceries'. If it's intended as a merchant, the tag would be incorrect.",MEDIUM,Utterance contains a misspelling ('grocerist').,aed6950 groceries expense,MODIFY,LOW,Utterance contains a misspelling 'grocerist' (should be 'groceries' or 'grocer').
v4_89,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_90,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_91,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'fever thermometer medical device pharmacy' is incorrectly tagged as CATEGORY. 'pharmacy' should be MERCHANT, and 'fever thermometer medical device' should be CATEGORY.",HIGH,,,MODIFY,HIGH,"Entity 'fever thermometer medical device pharmacy' is incorrectly tagged as CATEGORY. 'pharmacy' should be MERCHANT, and 'fever thermometer medical device' should be CATEGORY."
v4_92,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'nandos chicken al ghurair' is incorrectly tagged as a single MERCHANT. 'nandos al ghurair' should be the MERCHANT, and 'chicken' should be a CATEGORY.",HIGH,,,MODIFY,HIGH,"Merchant entity 'nandos chicken al ghurair' is too broad. 'nandos al ghurair' should be MERCHANT, and 'chicken' should be CATEGORY."
v4_93,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'ubereats online takeout delivery' is incorrectly tagged as a single MERCHANT. 'ubereats' should be the MERCHANT, and 'online takeout delivery' should be a CATEGORY.",MEDIUM,Utterance contains informal language ('blew').,,MODIFY,HIGH,"Merchant entity 'ubereats online takeout delivery' is too broad. 'ubereats' should be MERCHANT, and 'online takeout delivery' should be CATEGORY."
v4_94,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'mashreq bank emi' is incorrectly tagged as a single MERCHANT. 'mashreq bank' should be the MERCHANT, and 'emi' should be a PAYMENTMETHOD or CATEGORY.",MEDIUM,"Utterance contains informal Hindi words ('kharida', 'se', 'par').",,MODIFY,HIGH,"Merchant entity 'mashreq bank emi' is too broad. 'mashreq bank' should be MERCHANT, and 'emi' should be PAYMENT_METHOD or CATEGORY. Utterance contains informal Hindi words."
v4_95,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'jio prepaid recharge' is incorrectly tagged as a single MERCHANT. 'jio' should be the MERCHANT, and 'prepaid recharge' should be a CATEGORY.",MEDIUM,Utterance contains informal language ('forked out').,,MODIFY,HIGH,"Merchant entity 'jio prepaid recharge' is too broad. 'jio' should be MERCHANT, and 'prepaid recharge' should be CATEGORY."
v4_96,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'esewa utility payout txn #310' is incorrectly tagged as a single MERCHANT. 'esewa' should be the MERCHANT, and 'utility payout txn #310' is descriptive or a CATEGORY.",HIGH,,,MODIFY,HIGH,"Merchant entity 'esewa utility payout txn #310' is too broad. 'esewa' should be MERCHANT, and 'utility payout txn #310' is descriptive or a CATEGORY."
v4_97,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_98,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'byjus learning tuition class' is incorrectly tagged as a single MERCHANT. 'byjus' should be the MERCHANT, and 'learning tuition class' should be a CATEGORY. The category 'growth growth investment sip mutual' contains redundant 'growth growth' and should be 'investment sip mutual'.",LOW,"Utterance contains informal Hindi words ('mein', 'kharch hua', 'ke liye'). | Utterance contains redundant words ('growth growth').",byjus learning tuition class 3762.6 $ for investment sip mutual 21-05-2025,MODIFY,CRITICAL,"Merchant entity 'byjus learning tuition class' is too broad. 'byjus' should be MERCHANT, and 'learning tuition class' should be CATEGORY. Category 'growth growth investment sip mutual' contains redundant 'growth growth'. Utterance contains informal Hindi words and redundancy."
v4_99,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The entity 'sushi bar billing' is incorrectly tagged as CATEGORY; 'sushi bar' should be MERCHANT. The entity 'at&t cellular bills' is incorrectly tagged as a single MERCHANT; 'at&t' should be the MERCHANT, and 'cellular bills' should be a CATEGORY.",MEDIUM,Utterance contains informal language ('shelled out').,,MODIFY,CRITICAL,"Entity 'sushi bar billing' is incorrectly tagged as CATEGORY; 'sushi bar' should be MERCHANT. Merchant entity 'at&t cellular bills' is too broad; 'at&t' should be MERCHANT, and 'cellular bills' should be CATEGORY."
v4_100,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,MISSING_ENTITIES,"The token 'uber' is a merchant and should be tagged as B-MERCHANT, but is currently O.",MEDIUM,Informal and very concise phrasing.,Add Uber expense of 6.7k.,MODIFY,MEDIUM,Missing MERCHANT entity and informal phrasing.
v4_101,KEEP,,The utterance implies adding an expense.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'amul milk milk dairy bunk' is tagged as B-MERCHANT, I-MERCHANT, I-MERCHANT, I-MERCHANT, I-MERCHANT. 'Amul Milk' could be a merchant, but 'milk dairy bunk' is highly repetitive and unnatural as part of a merchant name. 'dairy' might be a category, and 'bunk' is likely extraneous. This indicates incorrect entity boundaries and potential over-tagging.",LOW,Highly unnatural and repetitive language in 'amul milk milk dairy bunk'. | Informal language ('ugh').,Add Amul Milk Dairy expense of 329.18.,MODIFY,HIGH,Unnatural utterance with significant entity boundary issues for MERCHANT.
v4_102,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,HIGH,,,KEEP,NONE,No Issues Found
v4_103,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'verizon mobile wireless monthly unlimited postpaid' is tagged as MERCHANT. 'Verizon Mobile Wireless' is likely the merchant, while 'monthly unlimited postpaid' describes the service and should be tagged as CATEGORY or O, not part of the MERCHANT entity.",MEDIUM,Informal language ('lol'). | Long and somewhat convoluted merchant/category phrase.,Spent 409 at Verizon Mobile Wireless for monthly unlimited postpaid service.,MODIFY,MEDIUM,Informal language and incorrect entity boundary for MERCHANT/CATEGORY.
v4_104,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Informal abbreviation ('tmrw').,Water tap line maintenance bills run 5379.59 INR tomorrow.,MODIFY,LOW,Informal abbreviation in the utterance.
v4_105,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,MISSING_ENTITIES,"The token 'swiggy' is a merchant and should be tagged as B-MERCHANT, but is currently O.",HIGH,,,MODIFY,MEDIUM,Missing MERCHANT entity.
v4_106,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'doordash delivery' is tagged as MERCHANT. 'Doordash' is the merchant, and 'delivery' is more likely a CATEGORY or O, not part of the merchant name.",MEDIUM,Informal language ('oops').,Spent 3574811 RS on Doordash delivery.,MODIFY,LOW,Informal language and potential entity boundary issue for MERCHANT/CATEGORY.
v4_107,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Informal language ('yikes').,Spent 6255.7k for family restaurant dinner.,MODIFY,LOW,Informal language in the utterance.
v4_108,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Informal phrasing ('hit me for').,"On 08/01/2025, Shoppers Stop charged me 6115.",MODIFY,LOW,Informal phrasing in the utterance.
v4_109,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,LOW,"Informal language ('like', 'idk why').",Spent 4100 INR on foodie spot dine-in.,MODIFY,LOW,Informal language in the utterance.
v4_110,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'exxonmobil refill' is tagged as MERCHANT. 'ExxonMobil' is the merchant, and 'refill' is more likely a CATEGORY or O, not part of the merchant name.",MEDIUM,Informal language ('smh').,4485 spent at ExxonMobil for a refill.,MODIFY,LOW,Informal language and potential entity boundary issue for MERCHANT/CATEGORY.
v4_111,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,MISSING_ENTITIES,"The token 'petrol' is a category and should be tagged as B-CATEGORY, but is currently O.",HIGH,,,MODIFY,MEDIUM,Missing CATEGORY entity.
v4_112,WRONG,,"The utterance 'coffee run ... at nic asia mutual fund' is highly contradictory. 'Coffee run' implies a small, everyday expense, while 'NIC Asia Mutual Fund' is a financial institution. It's unlikely a coffee run would be at a mutual fund, or if it is, the intent might be different (e.g., investment, not expense). This makes the intent ambiguous or the utterance nonsensical for ADD_EXPENSE.",KEEP,,"The utterance implies logging an expense, but the context is problematic.",WRONG_TAGS,"The tokens 'coffee run' are a category and should be tagged as B-CATEGORY, I-CATEGORY, but are currently O. The entity 'nic asia mutual fund' is tagged as MERCHANT, which is incorrect for a 'coffee run'. This is a major mismatch.",LOW,Contradictory and nonsensical phrasing ('coffee run' at a 'mutual fund'). | Informal language ('coffee run').,Spent ₹5707.39 on coffee.,DELETE,CRITICAL,"Critical mismatch between the expense type (coffee run) and the tagged merchant (mutual fund), indicating a fundamental issue with the data point or user intent."
v4_113,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,HIGH,,,KEEP,NONE,No Issues Found
v4_114,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Informal phrasing ('burnt on').,Spent ₹662507 on ELSS tax saver SIP mutual investment.,MODIFY,LOW,Informal phrasing in the utterance.
v4_115,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,MISSING_ENTITIES,"The token 'rent' is a category and should be tagged as B-CATEGORY, but is currently O.",MEDIUM,Informal abbreviation ('nxt wk').,Rent paid 724.16$ next week.,MODIFY,MEDIUM,Missing CATEGORY entity and informal abbreviation.
v4_116,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Informal language ('splurge').,Local commuter bus ticket cost 3300 bucks.,MODIFY,LOW,Informal language in the utterance.
v4_117,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'swiggy instamart grocery' is tagged as MERCHANT. 'Swiggy Instamart' is the merchant, and 'grocery' is a category. It should be B-MERCHANT, I-MERCHANT for 'Swiggy Instamart' and B-CATEGORY for 'grocery'.",MEDIUM,Informal language ('no regrets').,Paid Swiggy Instamart 4380$ for groceries.,MODIFY,MEDIUM,Informal language and incorrect entity boundary for MERCHANT/CATEGORY.
v4_118,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,LOW,Informal language ('ugh again').,Spent £2901 for a monetary token gift.,MODIFY,LOW,Informal language in the utterance.
v4_119,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'kgh thamel room night stay reservation' is tagged as MERCHANT. 'KGH Thamel' is the merchant, and 'room night stay reservation' is a category. It should be B-MERCHANT, I-MERCHANT for 'KGH Thamel' and B-CATEGORY, I-CATEGORY, I-CATEGORY, I-CATEGORY for 'room night stay reservation'. Additionally, 'wealth growth credit' is tagged as CATEGORY, which is a very unusual category to be associated with a hotel stay and might indicate a misunderstanding or an overly complex/ambiguous utterance.",LOW,Informal phrasing ('quick spend'). | The utterance is long and contains potentially conflicting or ambiguous categories ('room night stay reservation' and 'wealth growth credit').,Spent 4306 dollars at KGH Thamel for a room night stay reservation.,MODIFY,HIGH,Multiple entity boundary issues and an ambiguous/convoluted utterance with potentially conflicting categories.
v4_120,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,MISSING_ENTITIES,"The token 'today' is a date and should be tagged as B-DATE, but is currently O.",HIGH,,,MODIFY,MEDIUM,Missing DATE entity.
v4_121,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance explicitly states 'log'.,WRONG_BOUNDARIES,"The entity 'medplus pharmacy drugs store' is tagged as MERCHANT. 'Medplus Pharmacy' is the merchant, and 'drugs store' is a category. It should be B-MERCHANT, I-MERCHANT for 'Medplus Pharmacy' and B-CATEGORY, I-CATEGORY for 'drugs store'.",HIGH,,,MODIFY,MEDIUM,Incorrect entity boundary for MERCHANT/CATEGORY.
v4_122,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Informal language/code-switching ('kharcha').,Piano music class weekly tuition expense 6202478.,MODIFY,LOW,Informal language/code-switching in the utterance.
v4_123,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'shell gasoline pumps cards pay' is tagged as MERCHANT. 'Shell' is the merchant. 'gasoline pumps' is a category, and 'cards pay' is a payment method. This is a significant over-tagging of MERCHANT and incorrect entity boundaries. It should be B-MERCHANT for 'shell', B-CATEGORY, I-CATEGORY for 'gasoline pumps', and B-PAYMENTMETHOD, I-PAYMENTMETHOD for 'cards pay'.",HIGH,,,MODIFY,CRITICAL,"Critical entity boundary and tag issues, mixing MERCHANT, CATEGORY, and PAYMENTMETHOD into a single MERCHANT entity."
v4_124,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance explicitly states 'add'.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,MEDIUM,Typo ('budgt' instead of 'budget').,Add 5.4k to liquid fund weekly SIP investment budget.,MODIFY,LOW,Typo in the utterance.
v4_125,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,WRONG_BOUNDARIES,"The entity 'aarogyada health checkup diagnostics consultation' is tagged as MERCHANT. 'Aarogyada' is likely the merchant, and 'health checkup diagnostics consultation' is a category. It should be B-MERCHANT for 'Aarogyada' and B-CATEGORY, I-CATEGORY, I-CATEGORY, I-CATEGORY for the rest.",MEDIUM,Informal language ('stuff').,1916 spent at Aarogyada for health checkup diagnostics consultation yesterday.,MODIFY,MEDIUM,Informal language and incorrect entity boundary for MERCHANT/CATEGORY.
v4_126,KEEP,,The utterance clearly indicates an expense is being added.,KEEP,,The utterance implies logging an expense.,PERFECT,All entities are correctly identified and tagged with appropriate boundaries.,HIGH,,,KEEP,NONE,No Issues Found
